Categoría SICU,Breve descripción,Fecha,Hora,Localización,Lat,Lon,Subcategoría,Nivel de severidad,Fuente_URL
Otros,"Si hubiéramos luchado solos, en sólo un mes habríamos perdido a todos los prisioneros, las hostilidades cesarían y nos habríamos enfrentado a graves crisis internacionales.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,Un equipo de la Cruz Roja y Qassam se prepara para entrar en la zona amarilla al este de Gaza en busca de cuerpos de prisioneros.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"* Coordinador del Gobierno de Israel: * Con la aprobación política, el miércoles se abrió el cruce de Zikim para la entrada de camiones de asistencia en la Franja de Gaza. La asistencia se transportará por conducto de las Naciones Unidas y las organizaciones internacionales, tras un riguroso examen de seguridad realizado por la Dirección de Fronteras Terrestres.",2025-11-12,,قطاع غزة,31.443223,34.360007,,,
Otros,"El padre del oficial Ha'aretz, Hadar Golden, durante su funeral y enterramiento, fue abandonado durante su estancia en la Faja de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Por segundo día consecutivo, el equipo de rescate de la defensa civil de la provincia de Gaza está sacando y trasladando los cadáveres de los mártires desde el interior del recinto de la clínica Sheikh Radwan, al oeste de la ciudad de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-23.328398,32.806606,,,
Otros,"El Ministro del Ejército, Sr.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Los activistas de Gaza están pintando un mural condenando el genocidio ambiental y enviando un mensaje a los líderes de la Conferencia sobre el Clima en Brasil. El mural lleva símbolos visuales que reflejan tanto el dolor como la esperanza, y la conexión de lo que está ocurriendo en Gaza con la amenaza mundial para el medio ambiente y la humanidad.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-10.333333,-53.200000,,,
Otros,Buenos días a los prisioneros de la ocupación.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-34.616123,-58.435621,,,
Otros,Las fuerzas de ocupación están disparando intensamente dentro del campamento de Tulkarem.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",32.311147,35.027550,,,
Otros,- Las lanchas de guerra de ocupación disparan en el mar al sur de la Franja de Gaza.,2025-11-12,,قطاع غزة,31.549123,34.473445,,,
Otros,"Fuentes sirias: Las fuerzas de ocupación israelíes se adentran en la aldea de Diabal al-Qata, en la zona meridional de Quneitra, y levantan una barrera militar.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,Testimonios despreocupados... prisioneros y familias que fueron torturados por crímenes cometidos en silencio por la ocupación en sus cárceles.,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Una fuerza del ejército de ocupación, acompañada de mecanismos de demolición, se dirigió al sur de la ciudad de Hebrón para llevar a cabo demoliciones.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Las fuerzas de ocupación, acompañadas de una topadora, irrumpieron en la ciudad de Silwan, al sur de la sagrada mezquita de Al-Aqsa, en Jerusalén ocupada, para llevar a cabo una demolición.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.770603,35.236957,,,
Otros,"La entidad sionista no puede compararse con el Irán islámico en ninguna esfera, y la capacidad disuasoria de Irán debe desarrollarse al mismo tiempo que el progreso científico y tecnológico.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Las fuerzas de ocupación irrumpieron en la ciudad de Deir Samt, al oeste de Dura, al sur de Hebrón.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.521197,34.972871,,,
Otros,"* Ministerio de Salud de Gaza: • 6.000 casos de amputación en Gaza, que requieren programas de rehabilitación de emergencia. • 25% de los casos de amputación son de niños; • 12,7% de los casos son de mujeres; • falta de medios médicos y de material de apoyo aumenta el sufrimiento de los heridos, amputados**",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-23.328398,32.806606,,,
Otros,"Las fuerzas de ocupación están desplegadas en el barrio de Bir Ayub, en la ciudad de Silwan, en Jerusalén ocupada. Se cierran varias carreteras al mismo tiempo que el barrio de Al-Bustan para llevar a cabo demoliciones.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Grandes fuerzas del ejército y la policía de ocupación irrumpieron en el barrio de Al-Bustan, en la ciudad ocupada de Silwan, en Jerusalén, para llevar a cabo demoliciones.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Las topadoras de colonos arrojan residuos de la zona industrial de asentamiento entre los olivos y en tierras palestinas en las afueras de la ciudad de Tarmasia, al norte de Ramallah.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,El Ministro de Guerra de la ocupación decide cerrar la radio del ejército.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",44.671227,9.533381,,,
Otros,"La privación de agua y los incesantes ataques a los palestinos llevan a cabo dos actos pacíficos de destrucción de hierro en las profundidades del norte, en los que se habla de los ataques de los colonos y de las restricciones de la ocupación.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Médicos sin Fronteras: Un mes después de la frágil cesación del fuego, la situación en la Franja de Gaza sigue siendo terrible y los palestinos son asesinados y heridos casi todos los días por las fuerzas israelíes en zonas cercanas a la línea amarilla.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Advertencias para nuestros habitantes de tiendas de campaña y casas en peligro de derrumbarse , la cantidad de lluvias que los mapas están dibujando es muy grande , por favor , con cuidado y cuidado , permitiendo que todo esté expuesto a volatilización .",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"- La Autoridad Monetaria ha elaborado varias hipótesis para abordar la problemática de la relación con los bancos israelíes y otras cuestiones y, en caso de que se interrumpa la relación bancaria a finales del mes en curso, existe un plan alternativo para superarla, aunque ello entrañe un costo adicional.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",43.174794,-5.327026,,,
Otros,"Gobernador de la Autoridad Monetaria, Yahya Shanar: En el último trimestre de este año, el volumen de efectivo arrastrado de los bancos de la parte israelí ascendió a 4.500 millones de shekels, con lo que el total de transferencias desde principios de año asciende a 18.000 millones de shekels. Lamentablemente, este año no se han producido envíos adicionales, como antes del 7 de noviembre de 2023.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Una excavadora de ocupación cierra el puente de la aldea de Odala, al sur de Naplusa.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",32.220532,35.256937,,,
Otros,"Las fuerzas de ocupación están irrumpiendo en la ciudad de Beit Amr, al norte de Hebrón.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.621008,35.103093,,,
Otros,"Los mecanismos de demolición, acompañados por una fuerza de ocupación, irrumpieron en la ruina de Al-Khajit en un pasajero de Yata al sur de Hebrón.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"El municipio de ocupación está demoliendo la casa del palestino Musa Badran, en el barrio de Al-Bustan, en la ciudad de Silwan, en la Jerusalén ocupada.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,Conversaciones entre Al-Haredim y otros colonos frente a la oficina de reclutamiento del ejército de ocupación.,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Las fuerzas de ocupación comienzan a demoler la casa de los palestinos y a describir a Rezwan en el barrio de Al-Saraj, en la aldea de Al-Walaja, al oeste de Belén.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"La ocupación está llevando a cabo una amplia demolición en el desierto de Al-Khait, en un pasajero de Yata, al sur de Hebrón.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Los libaneses inspeccionan sus granjas destruidas por la ocupación en la zona de Ghassouna, en las afueras de la ciudad de Blida, en el sur del Líbano.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Canal de información sirio: Las fuerzas de ocupación israelíes se adentran en la aldea de Diabal al-Qata, en la zona meridional de Quneitra, levantan una barrera militar e impiden el paso de la población.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Parte de las demoliciones realizadas por la ocupación de una casa en la localidad de Al-Walaja, al oeste de Belén.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Urgentemente, un colono fue apuñalado en el interior del territorio ocupado, se realizó una búsqueda en el puerto y se examinaron los antecedentes del incidente.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Un colono que manipula y elimina la frontera entre las tierras de los agricultores en la zona de Baqa ' a, cerca de la ciudad de Beit Awa, al sur de Hebrón.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.538017,35.126016,,,
Otros,"En las últimas semanas, las unidades del ejército de ocupación y las bandas de colonos han seguido atacando e intimidando a nuestro pueblo en la Ribera ocupada y Jerusalén, y han intensificado sus recientes ataques de manera masiva, cometiendo los crímenes más atroces contra nuestra población civil.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Las contribuciones de los Emiratos Árabes Unidos proporcionan a miles de familias de Gaza comidas diarias, que son una fuente constante de alimentos y esperanza en medio de la crisis de la vida en el sector.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Conflicto Armado,"* El bombardeo de artillería al este del campamento de Bureij, en el centro de la Franja de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Seguimiento del ataque perpetrado por los colonos contra la fábrica de soldadores cerca de Beit Lid, al este de Tulkarem; quema de dos camiones y dos vehículos ayer",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",32.261060,35.130708,,,
Otros,"Sitio de noticias hebreo de Israel: Más de dos años después del 7 de octubre, la policía del Negev encontró fusiles Kalashnikov y radios de comunicación de elementos de Hamas en el jardín de infantes de Kibouts Beiri, en la portada de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Pausas para maestros, maestras y alumnos de escuelas del noroeste de Jerusalén y sus padres para exigir el pago de los sueldos y prestaciones de los maestros y la regularidad del proceso educativo.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",42.901742,-6.808258,,,
Otros,"El Ministro de la Guerra de la Ocupación propone oficialmente el cierre de Radio del Ejército en https://www.alquds.com/ar/posts/207441. El Ministro de la Guerra de la Ocupación propuso oficialmente el cierre de Radio del Ejército. El Ministro de la Guerra de la Ocupación, Sr.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",23.830034,87.452316,,,
Otros,□ Tas de un funcionario de relaciones exteriores ruso: Rusia está dispuesta a reanudar las negociaciones con Ucrania en Estambul,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",41.006381,28.975872,,,
